index,lensName,survey,zl,zs,theta_E,theta_eff,theta_ap,sigma_ap,sigma_ap_err,gamma_E2022LD,gamma_E2022LD_err,gamma_E2022OL,gamma_E2022OL_err_up,gamma_E2022OL_err_low
145,b'SDSSJ2122+0409',b' BELLS',0.626,1.452,1.58,0.9,1.0,324.0,56.0,1e+20,1e+20,1e+20,1e+20,1e+20
146,b'SDSSJ0747+5055',b' BELLS',0.438,0.898,0.75,1.09,1.0,328.0,60.0,1e+20,1e+20,1e+20,1e+20,1e+20
147,b'SDSSJ0029+2544',b' BELLS GALLERY',0.5869,2.4504,1.34,0.49,1.0,241.0,45.0,2.03,0.27,2.05,0.12,-0.15
148,b'SDSSJ0201+3228',b' BELLS GALLERY',0.3957,2.8209,1.7,2.32,1.0,256.0,20.0,1.96,0.17,2.09,0.09,-0.1
149,b'SDSSJ0237-0641',b' BELLS GALLERY',0.4859,2.2491,0.65,1.05,1.0,290.0,89.0,2.32,0.54,1.91,0.18,-0.1
150,b'SDSSJ0742+3341',b' BELLS GALLERY',0.4936,2.3633,1.22,0.89,1.0,218.0,28.0,1.98,0.2,2.21,0.06,-0.08
151,b'SDSSJ0755+3445',b' BELLS GALLERY',0.7224,2.6347,2.05,2.89,1.0,272.0,52.0,1.72,0.28,1.77,0.08,-0.05
152,b'SDSSJ0856+2010',b' BELLS GALLERY',0.5074,2.2335,0.98,0.51,1.0,334.0,54.0,2.55,0.23,2.23,0.08,-0.09
153,b'SDSSJ0918+5104',b' BELLS GALLERY',0.5811,2.403,1.6,0.57,1.0,298.0,49.0,2.14,0.26,2.38,0.16,-0.18
154,b'SDSSJ1110+2808',b' BELLS GALLERY',0.6073,2.3999,0.98,1.45,1.0,191.0,39.0,1.88,0.3,2.03,0.09,-0.07
155,b'SDSSJ1116+0915',b' BELLS GALLERY',0.5501,2.4536,1.03,0.98,1.0,274.0,55.0,2.23,0.25,2.22,0.16,-0.17
156,b'SDSSJ1141+2216',b' BELLS GALLERY',0.5858,2.7624,1.27,0.44,1.0,285.0,44.0,2.22,0.26,2.13,0.09,-0.11
157,b'SDSSJ1201+4743',b' BELLS GALLERY',0.5628,2.1258,1.18,0.48,1.0,239.0,43.0,2.09,0.27,2.74,0.05,-0.21
158,b'SDSSJ1226+5457',b' BELLS GALLERY',0.498,2.7322,1.37,0.56,1.0,248.0,26.0,2.06,0.21,2.24,0.07,-0.1
159,b'SDSSJ2228+1205',b' BELLS GALLERY',0.5305,2.8324,1.28,0.53,1.0,255.0,50.0,2.13,0.28,2.2,0.14,-0.1
160,b'SDSSJ2342-0120',b' BELLS GALLERY',0.527,2.2649,1.11,1.75,1.0,274.0,43.0,2.3,0.31,2.34,0.07,-0.09
